term,description
RAM,Random Access Memory. Temporary memory used by the computer.
CPU,Central Processing Unit. The brain of the computer.
Operating System,Software that manages hardware and software resources.
GPU,Graphics Processing Unit. Handles rendering of images, videos, and animations.
Hard Drive,Storage device used to store data permanently on a computer.
SSD,Solid State Drive. A faster and more reliable alternative to a hard drive.
Motherboard,Main circuit board that connects all components of a computer.
BIOS,Basic Input/Output System. Firmware that initializes hardware during the booting process.
Network Interface Card (NIC),Hardware that allows a computer to connect to a network.
IP Address,Unique identifier for a device on a network.
Firewall,Securities system designed to block unauthorized access while permitting outward communication.
Cloud Computing,Using remote servers hosted on the internet to store and process data instead of a local server.
Virtual Machine,A software-based simulation of a computer that runs an operating system.
Multithreading,The ability of a CPU to process multiple tasks simultaneously.
Bandwidth,The maximum amount of data that can be transferred over a network in a given period.
Pixel,The smallest unit of a digital image or display screen.
Encryption,The process of converting data into a code to prevent unauthorized access.
Router,A device that forwards data packets between computer networks.
USB,Universal Serial Bus. A standard for connecting peripherals to a computer.
Wi-Fi,Wireless technology that allows devices to communicate over a short distance.
Bluetooth,Wireless technology for exchanging data between devices over short distances.
